table_name,table_purpose,table_context,column_name,plain_english_definition
foundation_financial_ledger_lines,This table stores enriched financial ledger lines for the Foundation.,"Each row in this table represents a single financial transaction line, including its associated account and amount.",ledger_line_id,A unique identifier for each financial ledger line.
foundation_financial_ledger_lines,This table stores enriched financial ledger lines for the Foundation.,"Each row in this table represents a single financial transaction line, including its associated account and amount.",account_id,The identifier of the account associated with this financial transaction line.
foundation_financial_ledger_lines,This table stores enriched financial ledger lines for the Foundation.,"Each row in this table represents a single financial transaction line, including its associated account and amount.",transaction_id,A unique identifier for the financial transaction to which this line belongs.
foundation_financial_ledger_lines,This table stores enriched financial ledger lines for the Foundation.,"Each row in this table represents a single financial transaction line, including its associated account and amount.",entry_date,The date when this financial transaction entry was made.
foundation_financial_ledger_lines,This table stores enriched financial ledger lines for the Foundation.,"Each row in this table represents a single financial transaction line, including its associated account and amount.",amount,The monetary value of this financial transaction line.
foundation_financial_deposits,This table records all financial deposits made to the foundation.,"Each row in this table represents a single deposit transaction, including the user who made it, the amount deposited, and the method used.",deposit_id,A unique identifier for each deposit transaction.
foundation_financial_deposits,This table records all financial deposits made to the foundation.,"Each row in this table represents a single deposit transaction, including the user who made it, the amount deposited, and the method used.",user_id,The ID of the user who made the deposit.
foundation_financial_deposits,This table records all financial deposits made to the foundation.,"Each row in this table represents a single deposit transaction, including the user who made it, the amount deposited, and the method used.",amount,The amount of money deposited into the foundation's account.
foundation_financial_deposits,This table records all financial deposits made to the foundation.,"Each row in this table represents a single deposit transaction, including the user who made it, the amount deposited, and the method used.",method,"The method used to make the deposit, such as online banking or check deposit."
foundation_financial_deposits,This table records all financial deposits made to the foundation.,"Each row in this table represents a single deposit transaction, including the user who made it, the amount deposited, and the method used.",deposit_date,The date and time when the deposit was made.
foundation_financial_deposits,This table records all financial deposits made to the foundation.,"Each row in this table represents a single deposit transaction, including the user who made it, the amount deposited, and the status of that deposit.",deposit_id,A unique identifier for each deposit transaction.
foundation_financial_deposits,This table records all financial deposits made to the foundation.,"Each row in this table represents a single deposit transaction, including the user who made it, the amount deposited, and the status of that deposit.",user_id,The ID of the user who made the deposit.
foundation_financial_deposits,This table records all financial deposits made to the foundation.,"Each row in this table represents a single deposit transaction, including the user who made it, the amount deposited, and the status of that deposit.",amount,The amount of money deposited into the foundation's account.
foundation_financial_deposits,This table records all financial deposits made to the foundation.,"Each row in this table represents a single deposit transaction, including the user who made it, the amount deposited, and the status of that deposit.",transaction_id,A unique identifier for the financial transaction that recorded this deposit.
foundation_financial_deposits,This table records all financial deposits made to the foundation.,"Each row in this table represents a single deposit transaction, including the user who made it, the amount deposited, and the status of that deposit.",status,"The current status of the deposit (e.g., pending, approved, rejected)."
foundation_financial_withdrawals,This table records all financial withdrawals made from the foundation.,"Each row in this table represents a single withdrawal transaction, including the user who made it, the amount withdrawn, and the method used to withdraw the funds.",withdrawal_id,A unique identifier for each withdrawal transaction.
foundation_financial_withdrawals,This table records all financial withdrawals made from the foundation.,"Each row in this table represents a single withdrawal transaction, including the user who made it, the amount withdrawn, and the method used to withdraw the funds.",user_id,The ID of the user who made the withdrawal.
foundation_financial_withdrawals,This table records all financial withdrawals made from the foundation.,"Each row in this table represents a single withdrawal transaction, including the user who made it, the amount withdrawn, and the method used to withdraw the funds.",amount,The amount of money withdrawn in this transaction.
foundation_financial_withdrawals,This table records all financial withdrawals made from the foundation.,"Each row in this table represents a single withdrawal transaction, including the user who made it, the amount withdrawn, and the method used to withdraw the funds.",withdrawal_date,The date and time when the withdrawal was made.
foundation_financial_withdrawals,This table records all financial withdrawals made from the foundation.,"Each row in this table represents a single withdrawal transaction, including the user who made it, the amount withdrawn, and the method used to withdraw the funds.",method,"The method used to withdraw the funds, such as check or electronic transfer."
foundation_financial_withdrawals,This table stores information about financial withdrawals made from a foundation.,"Each row in this table represents a single withdrawal transaction, including the user who made it, the amount withdrawn, and the status of that transaction.",withdrawal_id,A unique identifier for each withdrawal transaction.
foundation_financial_withdrawals,This table stores information about financial withdrawals made from a foundation.,"Each row in this table represents a single withdrawal transaction, including the user who made it, the amount withdrawn, and the status of that transaction.",user_id,The ID of the user who made the withdrawal.
foundation_financial_withdrawals,This table stores information about financial withdrawals made from a foundation.,"Each row in this table represents a single withdrawal transaction, including the user who made it, the amount withdrawn, and the status of that transaction.",amount,The amount of money withdrawn in the transaction.
foundation_financial_withdrawals,This table stores information about financial withdrawals made from a foundation.,"Each row in this table represents a single withdrawal transaction, including the user who made it, the amount withdrawn, and the status of that transaction.",status,"The current status of the withdrawal transaction (e.g., approved, rejected, pending)."
foundation_financial_withdrawals,This table stores information about financial withdrawals made from a foundation.,"Each row in this table represents a single withdrawal transaction, including the user who made it, the amount withdrawn, and the status of that transaction.",transaction_id,A unique identifier for the financial transaction associated with this withdrawal.
foundation_financial_ledger_account_balances,This table stores the account balances for a given user and currency as of a specific date.,"Each row in this table represents the balance of a single financial account for a specific user, on a specific date, and in a specific currency.",account_id,The unique identifier for the financial account.
foundation_financial_ledger_account_balances,This table stores the account balances for a given user and currency as of a specific date.,"Each row in this table represents the balance of a single financial account for a specific user, on a specific date, and in a specific currency.",user_id,The unique identifier for the user associated with this account balance.
foundation_financial_ledger_account_balances,This table stores the account balances for a given user and currency as of a specific date.,"Each row in this table represents the balance of a single financial account for a specific user, on a specific date, and in a specific currency.",balance,"The amount of money in the account, expressed in the currency specified."
foundation_financial_ledger_account_balances,This table stores the account balances for a given user and currency as of a specific date.,"Each row in this table represents the balance of a single financial account for a specific user, on a specific date, and in a specific currency.",as_of_date,The date up to which the balance is valid.
foundation_financial_ledger_account_balances,This table stores the account balances for a given user and currency as of a specific date.,"Each row in this table represents the balance of a single financial account for a specific user, on a specific date, and in a specific currency.",currency,The currency in which the account balance is expressed.
foundation_financial_worldpay_transactions,This table stores raw data about financial transactions made through WorldPay.,"Each row in this table represents a single transaction, including its unique identifier, type, amount, status, and user associated with the transaction.",transaction_id,A unique identifier for each financial transaction made through WorldPay.
foundation_financial_worldpay_transactions,This table stores raw data about financial transactions made through WorldPay.,"Each row in this table represents a single transaction, including its unique identifier, type, amount, status, and user associated with the transaction.",transaction_type,"The type of the financial transaction, such as donation or purchase."
foundation_financial_worldpay_transactions,This table stores raw data about financial transactions made through WorldPay.,"Each row in this table represents a single transaction, including its unique identifier, type, amount, status, and user associated with the transaction.",amount,The monetary value of the financial transaction.
foundation_financial_worldpay_transactions,This table stores raw data about financial transactions made through WorldPay.,"Each row in this table represents a single transaction, including its unique identifier, type, amount, status, and user associated with the transaction.",status,"The current status of the financial transaction, such as pending or completed."
